PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,T1RelayState,T2SP,T2inT,T2RelayState,T3SP,T3inT,T3RelayState,T4SP,T4inT,T4RelayState,
2018_July_30_AlWajh5_8,2018_July_30,531763,14,16,48,30.50,31.75,CHL,30.50,31.50,CHL,30.75,30.56,HTR,30.75,30.69,CHL,
2018_July_30_AlWajh5_8,2018_July_30,537226,14,16,53,30.50,31.75,CHL,30.50,31.44,CHL,30.75,30.62,CHL,30.75,30.69,HTR,
2018_July_30_AlWajh5_8,2018_July_30,542683,14,16,59,30.50,31.75,CHL,30.50,31.44,CHL,30.75,30.62,HTR,30.75,30.69,HTR,
2018_July_30_AlWajh5_8,2018_July_30,548137,14,17,4,30.50,31.75,CHL,30.50,31.50,CHL,30.75,30.62,HTR,30.75,30.69,HTR,
2018_July_30_AlWajh5_8,2018_July_30,553592,14,17,10,30.50,31.69,CHL,30.50,31.44,CHL,30.75,30.69,CHL,30.75,30.75,CHL,
2018_July_30_AlWajh5_8,2018_July_30,559050,14,17,15,30.50,31.69,CHL,30.50,31.44,CHL,30.75,30.69,HTR,30.75,30.75,CHL,
2018_July_30_AlWajh5_8,2018_July_30,564511,14,17,23,30.50,31.19,HTR,30.50,31.44,CHL,30.75,30.69,HTR,30.75,30.75,CHL,
2018_July_30_AlWajh5_8,2018_July_30,572457,14,17,28,30.50,31.62,CHL,30.50,31.44,CHL,30.75,30.69,HTR,30.75,30.75,CHL,
2018_July_30_AlWajh5_8,2018_July_30,577913,14,17,34,30.50,31.94,CHL,30.50,31.44,CHL,30.75,30.69,HTR,30.75,30.81,CHL,
2018_July_30_AlWajh5_8,2018_July_30,583370,14,17,39,30.50,31.31,HTR,30.50,31.44,CHL,30.75,30.69,HTR,30.75,30.81,CHL,
2018_July_30_AlWajh5_8,2018_July_30,588830,14,17,45,30.50,31.50,CHL,30.50,31.44,CHL,30.75,30.75,CHL,30.75,30.81,CHL,
2018_July_30_AlWajh5_8,2018_July_30,594316,14,17,50,30.50,31.62,CHL,30.50,31.37,CHL,30.75,30.75,CHL,30.75,30.81,CHL,
PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,T1RelayState,T2SP,T2inT,T2RelayState,T3SP,T3inT,T3RelayState,T4SP,T4inT,T4RelayState,
2018_July_30_AlWajh5_8,2018_July_30,599774,14,17,56,30.50,31.69,CHL,30.50,31.37,CHL,30.75,30.75,CHL,30.75,30.87,CHL,
2018_July_30_AlWajh5_8,2018_July_30,605368,14,18,1,30.50,31.69,CHL,30.50,31.37,CHL,30.75,30.75,CHL,30.75,30.87,CHL,
2018_July_30_AlWajh5_8,2018_July_30,610825,14,18,7,30.50,31.62,CHL,30.50,31.37,CHL,30.75,30.75,CHL,30.75,30.87,CHL,
2018_July_30_AlWajh5_8,2018_July_30,616282,14,18,12,30.50,31.69,CHL,30.50,31.37,CHL,30.75,30.75,CHL,30.75,30.87,CHL,
2018_July_30_AlWajh5_8,2018_July_30,621740,14,18,18,30.50,31.69,CHL,30.50,31.37,CHL,30.75,30.81,CHL,30.75,30.87,CHL,
2018_July_30_AlWajh5_8,2018_July_30,627198,14,18,27,30.50,31.62,CHL,30.50,31.37,CHL,30.75,30.81,CHL,30.75,30.87,CHL,
2018_July_30_AlWajh5_8,2018_July_30,636280,14,18,32,30.50,31.62,CHL,30.50,31.31,CHL,30.75,30.81,CHL,30.75,30.94,CHL,
2018_July_30_AlWajh5_8,2018_July_30,641740,14,18,38,30.50,31.62,CHL,30.50,31.31,CHL,30.75,30.81,CHL,30.75,30.94,CHL,
2018_July_30_AlWajh5_8,2018_July_30,647199,14,18,43,30.50,31.62,CHL,30.50,31.31,CHL,30.75,30.81,CHL,30.75,30.94,CHL,
2018_July_30_AlWajh5_8,2018_July_30,652683,14,18,49,30.50,31.62,CHL,30.50,31.31,CHL,30.75,30.81,CHL,30.75,30.94,CHL,
2018_July_30_AlWajh5_8,2018_July_30,658146,14,18,54,30.50,31.62,CHL,30.50,31.31,CHL,30.75,30.81,CHL,30.75,30.94,CHL,
2018_July_30_AlWajh5_8,2018_July_30,663605,14,19,0,30.50,31.62,CHL,30.50,31.31,CHL,30.75,30.81,CHL,30.75,30.94,CHL,
2018_July_30_AlWajh5_8,2018_July_30,669063,14,19,5,30.50,31.62,CHL,30.50,31.31,CHL,30.75,30.81,CHL,30.75,30.94,CHL,
2018_July_30_AlWajh5_8,2018_July_30,674521,14,19,11,30.50,31.56,CHL,30.50,31.31,CHL,30.75,30.81,CHL,30.75,30.94,CHL,
2018_July_30_AlWajh5_8,2018_July_30,679984,14,19,16,30.50,31.56,CHL,30.50,31.25,CHL,30.75,30.81,CHL,30.75,30.94,CHL,
2018_July_30_AlWajh5_8,2018_July_30,685443,14,19,21,30.50,31.56,CHL,30.50,31.25,CHL,30.75,30.81,CHL,30.75,30.94,CHL,
2018_July_30_AlWajh5_8,2018_July_30,690902,14,19,32,30.50,31.56,CHL,30.50,31.25,CHL,30.75,30.81,CHL,30.75,30.94,CHL,
2018_July_30_AlWajh5_8,2018_July_30,701105,14,19,37,30.50,31.56,CHL,30.50,31.25,CHL,30.75,30.81,CHL,30.75,30.94,CHL,
2018_July_30_AlWajh5_8,2018_July_30,706564,14,19,43,30.50,31.56,CHL,30.50,31.25,CHL,30.75,30.81,CHL,30.75,30.94,CHL,
2018_July_30_AlWajh5_8,2018_July_30,712035,14,19,48,30.50,31.56,CHL,30.50,31.25,CHL,30.75,30.81,CHL,30.75,30.94,CHL,
2018_July_30_AlWajh5_8,2018_July_30,717494,14,19,54,30.50,31.56,CHL,30.50,31.25,CHL,30.75,30.75,HTR,30.75,30.94,CHL,
2018_July_30_AlWajh5_8,2018_July_30,722952,14,19,59,30.50,31.56,CHL,30.50,31.19,CHL,30.75,30.75,CHL,30.75,30.94,CHL,
2018_July_30_AlWajh5_8,2018_July_30,728409,14,20,4,30.50,31.56,CHL,30.50,31.19,CHL,30.75,30.75,CHL,30.75,30.94,CHL,
2018_July_30_AlWajh5_8,2018_July_30,733870,14,20,10,30.50,31.56,CHL,30.50,31.19,CHL,30.75,30.75,CHL,30.75,30.94,CHL,
2018_July_30_AlWajh5_8,2018_July_30,739328,14,20,15,30.50,31.56,CHL,30.50,31.19,CHL,30.75,30.75,CHL,30.75,30.94,CHL,
2018_July_30_AlWajh5_8,2018_July_30,744785,14,20,21,30.50,31.50,CHL,30.50,31.19,CHL,30.75,30.75,CHL,30.75,30.94,CHL,
2018_July_30_AlWajh5_8,2018_July_30,750242,14,20,26,30.50,31.50,CHL,30.50,31.19,CHL,30.75,30.75,CHL,30.75,30.94,CHL,
2018_July_30_AlWajh5_8,2018_July_30,755723,14,20,32,30.67,31.50,CHL,30.67,31.19,CHL,31.00,30.75,HTR,31.00,30.94,HTR,
2018_July_30_AlWajh5_8,2018_July_30,761434,14,20,37,30.67,31.50,CHL,30.67,31.19,CHL,31.00,30.75,HTR,31.00,30.94,HTR,
2018_July_30_AlWajh5_8,2018_July_30,766889,14,20,43,30.67,31.50,CHL,30.67,31.19,CHL,31.00,30.75,HTR,31.00,30.94,HTR,
2018_July_30_AlWajh5_8,2018_July_30,772345,14,20,48,30.67,31.50,CHL,30.67,31.19,CHL,31.00,30.75,HTR,31.00,30.94,HTR,
2018_July_30_AlWajh5_8,2018_July_30,777801,14,20,54,30.67,31.50,CHL,30.67,31.12,CHL,31.00,30.75,HTR,31.00,30.94,HTR,
2018_July_30_AlWajh5_8,2018_July_30,783260,14,20,59,30.67,31.50,CHL,30.67,31.12,CHL,31.00,30.75,HTR,31.00,31.00,CHL,
