Label,Site,Species,Geno,Temp,Replicate,Bleaching_score_GP,Bleaching_score_AC,Bleaching_score_CB,Median
WA2-33A,AlWajh,Acropora,2,33,A,100,100,100,100
WA3-33A,AlWajh,Acropora,3,33,A,80,80,100,80
WA4-33A,AlWajh,Acropora,4,33,A,100,100,80,100
WA5-33A,AlWajh,Acropora,5,33,A,60,80,80,80
WA6-33A,AlWajh,Acropora,6,33,A,100,100,100,100
WA7-33A,AlWajh,Acropora,7,33,A,100,100,100,100
WA1-33B,AlWajh,Acropora,1,33,B,100,100,100,100
WA2-33B,AlWajh,Acropora,2,33,B,100,100,100,100
WA3-33B,AlWajh,Acropora,3,33,B,60,80,80,80
WA4-33B,AlWajh,Acropora,4,33,B,80,80,80,80
WA5-33B,AlWajh,Acropora,5,33,B,40,60,60,60
WA6-33B,AlWajh,Acropora,6,33,B,60,100,80,80
WA7-33B,AlWajh,Acropora,7,33,B,80,80,80,80
WA1-36A,AlWajh,Acropora,1,36,A,40,40,40,40
WA2-36A,AlWajh,Acropora,2,36,A,20,20,20,20
WA3-36A,AlWajh,Acropora,3,36,A,20,20,20,20
WA4-36A,AlWajh,Acropora,4,36,A,0,0,0,0
WA5-36A,AlWajh,Acropora,5,36,A,0,0,0,0
WA6-36A,AlWajh,Acropora,6,36,A,0,0,0,0
WA7-36A,AlWajh,Acropora,7,36,A,20,20,20,20
WA1-36B,AlWajh,Acropora,1,36,B,40,40,20,40
WA2-36B,AlWajh,Acropora,2,36,B,0,0,20,0
WA3-36B,AlWajh,Acropora,3,36,B,20,20,20,20
WA4-36B,AlWajh,Acropora,4,36,B,0,0,0,0
WA5-36B,AlWajh,Acropora,5,36,B,0,0,20,0
WA6-36B,AlWajh,Acropora,6,36,B,20,20,20,20
WA7-36B,AlWajh,Acropora,7,36,B,20,20,20,20
WA1-39A,AlWajh,Acropora,1,39,A,0,0,0,0
WA2-39A,AlWajh,Acropora,2,39,A,0,0,0,0
WA3-39A,AlWajh,Acropora,3,39,A,0,0,0,0
WA4-39A,AlWajh,Acropora,4,39,A,0,0,0,0
WA5-39A,AlWajh,Acropora,5,39,A,0,0,0,0
WA6-39A,AlWajh,Acropora,6,39,A,0,0,0,0
WA7-39A,AlWajh,Acropora,7,39,A,0,0,0,0
WA1-39B,AlWajh,Acropora,1,39,B,0,0,0,0
