Site,Temp,Species,Geno,Rep,Label,Chl_cm2
Yanbu,36,Porites,3,A,YL3-36A,1.631
Yanbu,36,Porites,4,A,YL4-36A,3.466
Yanbu,36,Porites,5,A,YL5-36A,1.134
Yanbu,36,Porites,6,A,YL6-36A,2.712
Yanbu,36,Porites,7,A,YL7-36A,2.246
Yanbu,39,Porites,1,A,YL1-39A,1.108
Yanbu,39,Porites,2,A,YL2-39A,1.661
Yanbu,39,Porites,3,A,YL3-39A,1.639
Yanbu,39,Porites,4,A,YL4-39A,2.726
Yanbu,39,Porites,5,A,YL5-39A,2.718
Yanbu,39,Porites,6,A,YL6-39A,5.031
Yanbu,39,Porites,7,A,YL7-39A,2.139
AlFahal,30,Stylophora,1,A,KS1-30A,1.377
AlFahal,30,Stylophora,2,A,KS2-30A,1.755
AlFahal,30,Stylophora,3,A,KS3-30A,3.508
AlFahal,30,Stylophora,4,A,KS4-30A,2.02
AlFahal,30,Stylophora,5,A,KS5-30A,3.694
AlFahal,30,Stylophora,6,A,KS6-30A,3.333
AlFahal,30,Stylophora,7,A,KS7-30A,1.711
AlFahal,33,Stylophora,1,A,KS1-33A,2.406
AlFahal,33,Stylophora,2,A,KS2-33A,2.242
AlFahal,33,Stylophora,3,A,KS3-33A,4.924
AlFahal,33,Stylophora,4,A,KS4-33A,1.918
AlFahal,33,Stylophora,5,A,KS5-33A,4.726
AlFahal,33,Stylophora,6,A,KS6-33A,2.223
AlFahal,33,Stylophora,7,A,KS7-33A,4.33
AlFahal,36,Stylophora,1,A,KS1-36A,1.849
AlFahal,36,Stylophora,2,A,KS2-36A,0.948
AlFahal,36,Stylophora,3,A,KS3-36A,2.594
AlFahal,36,Stylophora,4,A,KS4-36A,1.63
AlFahal,36,Stylophora,5,A,KS5-36A,4.431
AlFahal,36,Stylophora,6,A,KS6-36A,2.154
AlFahal,36,Stylophora,7,A,KS7-36A,1.744
AlFahal,39,Stylophora,1,A,KS1-39A,3.834
AlFahal,39,Stylophora,2,A,KS2-39A,3.825
AlFahal,39,Stylophora,3,A,KS3-39A,4.341
AlFahal,39,Stylophora,4,A,KS4-39A,3.304
AlFahal,39,Stylophora,5,A,KS5-39A,1.305
AlFahal,39,Stylophora,6,A,KS6-39A,4.572
AlFahal,39,Stylophora,7,A,KS7-39A,6.352
Eilat,30,Stylophora,1,B,ES1-30B,2.068
Eilat,30,Stylophora,2,B,ES2-30B,1.061
Eilat,30,Stylophora,3,B,ES3-30B,2.6
Eilat,30,Stylophora,4,B,ES4-30B,0.741
Eilat,30,Stylophora,5,B,ES5-30B,1.086
Eilat,30,Stylophora,6,B,ES6-30B,2.484
Eilat,30,Stylophora,7,B,ES7-30B,0.916
Eilat,33,Stylophora,1,B,ES1-33B,1.229
Eilat,33,Stylophora,2,B,ES2-33B,1.356
Eilat,33,Stylophora,3,B,ES3-33B,1.008
Eilat,33,Stylophora,4,B,ES4-33B,1.3
Eilat,33,Stylophora,5,B,ES5-33B,1.035
Eilat,33,Stylophora,6,B,ES6-33B,3.316
Eilat,33,Stylophora,7,B,ES7-33B,1.109
Eilat,36,Stylophora,1,B,ES1-36B,1.842
Eilat,36,Stylophora,2,B,ES2-36B,0.691
Eilat,36,Stylophora,3,B,ES3-36B,1.371
Eilat,36,Stylophora,4,B,ES4-36B,4.936
Eilat,36,Stylophora,5,B,ES5-36B,0.303
Eilat,36,Stylophora,6,B,ES6-36B,1.912
